edge,O1,O2,O3,O4,O5,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,I1,I2
e1,1,,,,,-1,,,,,,,,,,,,,,,,
e2,,1,,,,,-1,,,,,,,,,,,,,,,
e3,,,1,,,,,-1,,,,,,,,,,,,,,
e4,,,,1,,,,,-1,,,,,,,,,,,,,
e5,,,,,1,,,,,-1,,,,,,,,,,,,
e6,,,,,,1,,,,,,,-1,,,,,,,,,
e7,,,,,,-1,1,,,,,,,,,,,,,,,
e8,,,,,,,1,,,,-1,,,,,,,,,,,
e9,,,,,,,,1,,,-1,,,,,,,,,,,
e10,,,,,,,,1,,,,-1,,,,,,,,,,
e11,,,,,,,,,1,,,-1,,,,,,,,,,
e12,,,,,,,,,1,-1,,,,,,,,,,,,
e13,,,,,,,,,,1,,,,,,,-1,,,,,
e14,,,,,,,,,,,1,,,-1,,,,,,,,
e15,,,,,,,,,,,,1,,,,-1,,,,,,
e16,,,,,,,,,,,,,1,,,,,,-1,,,
e17,,,,,,,,,,,,,-1,1,,,,,,,,
e18,,,,,,,,,,,,,,1,-1,,,,,,,
e19,,,,,,,,,,,,,,,-1,1,,,,,,
e20,,,,,,,,,,,,,,,,1,-1,,,,,
e21,,,,,,,,,,,,,,,,,1,,,-1,,
e22,,,,,,,,,,,,,,,1,,,-1,,,,
e23,,,,,,,,,,,,,,,,,,1,-1,,,
e24,,,,,,,,,,,,,,,,,,1,,-1,,
e25,,,,,,,,,,,,,,,,,,,1,,-1,
e26,,,,,,,,,,,,,,,,,,,,1,,-1
